Crash_ID,Unit_Nbr,Drvr_Lic_Endors_ID
17338074,2,8
17338076,1,8
17338076,2,96
17338077,1,99
17338079,1,96
17338080,1,96
17338080,2,99
17338081,1,99
17338081,2,8
17338085,1,7
17338085,2,96
17338087,1,96
17338087,2,2
17338087,2,3
17338092,1,96
17338098,1,8
17338100,1,96
17338100,2,98
17338102,1,96
17338102,2,96
17338109,1,96
17338109,2,96
17338113,1,99
17338113,2,96
17338120,1,96
17338120,2,96
17338120,3,96
17338126,1,96
17338126,2,96
17338127,1,8
17338127,2,96
17338127,3,96
17338129,1,96
17338129,2,96
17338130,1,8
17338130,2,8
17338133,1,96
17338133,3,96
17338135,1,96
17338136,1,96
17338136,2,8
17338137,1,96
17338137,2,96
17338140,1,98
17338140,2,96
17338141,1,96
17338141,2,96
17338141,3,96
17338142,1,96
17338144,1,8
17338144,2,96
17338145,1,96
17338145,2,2
17338145,2,3
17338145,2,4
17338145,2,5
17338145,2,6
17338149,1,96
17338149,2,96
17338153,1,96
17338153,2,8
17338160,1,96
17338160,2,96
17338160,3,96
17338164,1,96
17338164,2,96
17338177,1,96
17338177,2,8
17338177,3,96
17338179,1,99
17338179,2,99
17338181,1,96
17338181,2,96
17338182,1,96
17338182,2,96
17338182,3,96
17338187,1,99
17338187,2,96
17338188,1,96
17338188,2,96
17338189,1,96
17338189,2,96
17338189,3,96
17338189,4,96
17338189,5,96
17338190,1,96
17338190,2,96
17338195,1,96
17338195,2,96
17338197,1,96
17338198,1,96
17338198,2,96
17338199,1,8
17338199,2,96
17338199,3,8
17338200,1,8
17338200,2,96
17338201,1,96
17338201,2,96
17338202,1,96
17338202,2,96
17338205,1,96
17338214,1,99
17338214,2,96
17338215,1,96
17338217,1,96
17338217,2,96
17338218,1,96
17338218,2,96
17338220,1,99
17338224,1,96
17338224,2,96
17338227,1,8
17338227,2,96
17338227,3,99
17338228,1,98
17338228,2,96
17338229,1,96
17338229,2,96
17338230,1,96
17338230,2,96
17338232,1,98
17338232,3,8
17338233,1,96
17338233,2,8
17338233,3,96
17338234,1,96
17338236,1,99
17338237,1,96
17338238,1,96
17338238,2,96
17338239,1,96
17338239,2,96
17338240,1,96
17338240,2,96
17338243,1,96
17338244,1,99
17338245,1,99
17338246,1,96
17338246,2,96
17338249,1,96
17338249,3,98
17338251,1,96
17338251,2,96
17338260,1,96
17338260,2,96
17338261,1,96
17338261,2,96
17338262,1,96
17338263,1,8
17338263,2,96
17338263,3,98
17338264,1,96
17338266,1,96
17338266,2,3
17338267,1,96
17338267,2,96
17338274,1,96
17338274,2,8
17338275,1,99
17338278,1,96
17338278,2,96
17338279,1,99
17338280,1,98
17338281,1,96
17338286,1,96
17338286,2,96
17338286,3,96
17338289,1,96
17338289,2,96
17338291,1,96
17338291,2,96
17338292,1,96
17338292,2,96
17338293,1,96
17338293,2,96
17338295,1,8
17338295,2,96
17338296,1,96
17338297,1,96
17338297,2,96
17338298,1,96
17338299,1,96
17338299,2,96
17338300,1,96
17338300,2,8
17338301,1,96
17338301,2,96
17338302,1,96
17338302,2,96
17338305,1,96
17338305,2,8
17338307,1,96
17338307,2,96
17338310,1,99
17338310,3,96
17338311,1,8
17338311,2,96
17338312,1,96
17338312,2,96
17338313,1,96
17338313,2,96
17338316,1,96
17338316,2,96
17338318,1,96
17338319,1,96
17338319,2,99
17338320,1,96
17338320,2,96
17338322,1,96
17338322,2,8
17338326,1,96
17338328,1,96
17338328,2,96
17338329,1,96
17338330,1,96
17338330,2,96
17338331,1,8
17338331,2,96
17338332,1,96
17338332,2,96
17338338,1,96
17338338,2,96
17338339,1,6
17338339,3,96
17338340,1,96
17338340,2,99
17338342,1,96
17338342,2,96
17338343,1,99
17338343,3,96
17338344,1,8
17338344,2,96
17338345,1,96
17338347,1,96
17338347,2,96
17338348,1,99
17338348,2,96
17338350,1,8
17338352,1,96
17338355,1,96
17338355,2,96
17338359,1,96
17338359,2,96
17338359,3,96
17338361,1,2
17338361,1,3
17338361,1,6
17338361,3,96
17338362,1,99
17338365,1,8
17338365,2,96
17338366,1,96
17338366,2,96
17338366,3,96
17338367,1,8
17338367,2,8
17338368,1,96
17338369,1,99
17338369,2,96
17338371,1,96
17338373,1,96
17338375,1,96
17338375,2,96
17338376,1,96
17338376,2,96
17338377,1,2
17338377,3,96
17338380,1,96
17338380,2,96
17338387,1,8
17338387,2,8
17338389,1,96
17338389,2,96
17338390,1,96
17338390,2,96
17338390,3,96
17338393,1,96
17338404,1,96
17338406,1,99
17338406,2,96
17338416,1,99
17338416,2,96
17338425,1,96
17338425,2,96
17338427,1,99
17338427,2,96
17338428,1,96
17338428,2,96
17338434,1,96
17338434,2,96
17338443,1,96
17338451,1,8
17338451,2,96
17338454,1,96
17338454,2,96
17338461,1,96
17338461,2,96
17338462,1,8
17338462,2,96
17338467,1,96
17338467,2,2
17338467,2,3
17338467,2,5
17338471,1,8
17338471,2,96
17338477,1,96
17338477,3,96
17338478,1,96
17338478,2,96
17338480,1,96
17338480,2,96
17338482,1,96
17338482,2,8
17338483,1,96
17338484,1,96
17338484,2,96
17338486,1,96
17338486,2,3
17338486,2,4
17338486,2,6
17338487,1,8
17338487,2,96
17338489,1,96
17338489,2,96
17338491,1,96
17338491,2,3
17338491,2,4
17338491,2,6
17338491,4,96
17338492,1,99
17338492,2,96
17338493,1,96
17338493,3,96
17338495,1,96
17338496,1,96
17338496,2,96
17338497,1,96
17338497,2,8
17338498,1,96
17338498,2,96
17338500,1,96
17338500,2,96
17338501,1,96
17338501,2,99
17338502,1,96
17338502,2,96
17338503,1,99
17338504,1,96
17338504,2,96
17338507,1,96
17338507,2,8
17338508,1,96
17338511,1,99
17338511,2,96
17338511,3,96
17338518,1,96
17338518,2,96
17338534,1,99
17338534,2,96
17338535,1,8
17338535,2,96
17338536,1,8
17338545,1,96
17338547,1,99
17338547,2,99
17338547,3,96
17338572,1,96
17338572,2,96
17338579,1,96
17338579,2,96
17338580,1,96
17338582,1,96
17338583,1,99
17338584,1,96
17338584,2,96
17338587,1,96
17338587,2,96
17338588,1,96
17338588,2,96
17338589,1,99
17338589,2,96
17338590,1,96
17338590,2,96
17338597,1,96
17338598,1,96
17338599,1,99
17338599,2,96
17338601,1,96
17338601,2,96
17338603,1,96
17338603,2,99
17338604,1,96
17338604,2,96
17338605,1,99
17338605,2,96
17338606,1,96
17338606,2,96
17338608,1,99
17338608,2,96
17338613,1,96
17338613,2,96
17338614,1,96
17338616,1,96
17338616,2,96
17338616,3,96
17338618,1,96
17338618,2,98
17338618,3,96
17338621,1,96
17338621,2,96
17338622,1,96
17338622,2,96
17338624,1,96
17338624,2,96
17338624,3,96
17338624,4,96
17338631,1,96
17338631,2,96
17338636,1,96
17338636,2,8
17338637,1,8
17338646,1,99
17338653,1,96
17338653,2,99
17338657,1,96
17338657,2,96
17338658,1,96
17338658,3,96
17338659,1,96
17338659,2,96
17338659,3,96
17338665,1,2
17338665,3,96
17338666,1,96
17338669,1,96
17338669,2,96
17338671,1,3
17338671,1,4
17338671,3,96
17338672,1,96
17338673,1,96
17338673,2,96
17338676,1,96
17338677,1,96
17338677,2,96
17338678,1,96
17338678,2,2
17338678,2,3
17338678,2,5
17338678,2,6
17338679,1,96
17338679,2,96
17338680,1,99
17338680,2,96
17338681,1,99
17338681,2,96
17338683,1,96
17338683,2,96
17338685,1,99
17338685,2,96
17338686,1,96
17338686,2,99
17338687,1,99
17338687,2,96
17338688,1,96
17338688,2,96
17338689,1,99
17338689,2,96
17338691,1,96
17338691,2,96
17338692,1,96
17338692,2,96
17338693,1,96
17338693,2,96
17338694,1,96
17338694,2,8
17338695,1,99
17338695,2,96
17338696,1,96
17338696,2,96
17338697,1,99
17338697,2,96
17338698,1,96
17338698,2,96
17338699,1,96
17338699,2,96
17338700,1,99
17338701,1,99
17338701,2,99
17338702,1,96
17338702,2,96
17338703,1,96
17338703,2,96
17338706,1,96
17338706,2,96
17338708,1,96
17338708,2,96
17338714,1,96
17338714,2,96
17338719,1,96
17338719,2,8
17338725,1,96
17338725,2,96
17338725,3,96
17338728,1,96
17338732,1,96
17338732,2,96
17338739,1,96
17338742,1,96
17338742,2,96
17338746,1,96
17338746,2,96
17338750,1,96
17338750,2,96
17338752,1,96
17338752,2,96
17338755,1,96
17338755,2,96
17338756,1,96
17338756,2,96
17338756,3,96
17338756,4,96
17338757,1,96
17338757,2,96
17338759,1,8
17338759,2,3
17338759,2,4
17338760,1,99
17338760,2,96
17338765,1,96
17338765,2,96
17338766,1,96
17338766,2,96
17338766,3,96
17338768,1,96
17338768,2,96
17338772,1,96
17338772,2,96
17338778,1,96
17338779,1,96
17338779,2,96
17338781,1,99
17338781,2,2
17338785,1,96
17338786,1,96
17338786,2,96
17338787,1,8
17338787,2,96
17338787,3,96
17338797,1,99
17338797,2,96
17338798,1,99
17338798,2,96
17338799,1,96
17338799,2,96
17338800,1,99
17338800,2,98
17338803,1,99
17338811,1,99
17338811,2,96
17338812,1,99
17338818,1,99
17338819,1,96
17338819,2,96
17338824,1,96
17338824,2,96
17338825,1,96
17338825,2,98
17338826,1,96
17338826,2,96
17338847,1,96
17338847,2,96
17338851,1,96
17338858,1,96
17338861,1,96
17338861,2,96
17338863,1,99
17338863,2,96
17338864,1,96
17338864,2,96
