Crash_ID,Damaged_Property
16931802,UTILITY POLE.  NUMBER SW BELL 339.
16931813,GUARDRAIL
16931872,SCUFF MARK ON CONCRETE BARRIER
16931938,DAMAGED MAILBOX AND POST (APPROX. $150)
16931946,CONCRETE CULVERT
16931952,LIGHT POLE AND TRAFFIC CONTROL BOX
16931954,AEP POWER UTILITY POLE
16931956,"LANDSCAPE, STORE SIGN"
16931956,STOP SIGN
16931973,DAMAGED SIGNAL LIGHT POLE
16931975,STOP SIGN / ONE WAY SIGN
16931995,8FT OF FENCING
16931995,CROSS WALK SIGN
16932041,HIGH VOLTAGE POWER BOX
16932041,CABLE BOX
16932048,GUARD RAIL
16932062,METAL SIGN AND FENCING
16932063,APPROX. 75 FT GUARD RAIL DAMAGE
16932065,FENCE
16932086,YIELD SIGN AND POLE
16932119,SCHLOTZSKY'S SIGN AND CONCRETE DAMAGE
16932307,MAIL BOX WAS DAMAGED
16932357,ROAD SIGN
16932365,TRAFFIC LIGHT CONTROL BOX
16932383,CRASH CUSHION
16932419,WOODEN UTILITY POLE
16932420,DO NOT ENTER SIGN
16932420,FENCE
16932455,TELEPHONE JUNCTION BOX
16932479,"BARBED WIRE FENCE, METAL GATE, AND POLES"
16932502,MAIL BOX AND POST
16932505,FENCE
16932537,TRAFFIC LIGHT POLE
16932548,FENCE
16932561,10 FEET WIRE FENCE
16932571,BARBED WIRE FENCE.
16932573,GUARD RAIL
16932581,EXIT SIGN
16932582,CHAIN LINK FENCE
16932585,GUARDRAIL
16932651,"OUTSIDE WALL OF BUSINESS, SEWER SYSTEM"
16932652,CONSTRUCTION BARRIER
16932676,METAL POLE
16932677,BRICK WALL TO HOME
16932703,FENCE / FENCE POST
16932703,POWER POLE
16932703,WHITE GATE
16932717,PEDESTRIAN CROSSWALK LIGHT POLE
16932733,SPEED LIMIT SIGN
16932770,FENCE LINE
16932772,"HOME, WALL"
16932780,LARGE ROCKS
16932791,MINOR DAMAGE TO EAST SIDE OF HOME
16932812,RAISED DECORATIVE BRICK PAD
16932813,EXIT SIGN AND WRONG WAY SIGN
16932821,FENCE AND LANDSCAPE DAMAGE
16932829,SIGN POST
16932835,WOODEN POSTS
