Crash_ID,Unit_Nbr,Drvr_Lic_Restric_ID
17238188,1,19
17238188,2,19
17238190,1,99
17238190,2,19
17238192,1,99
17238192,2,99
17238193,1,19
17238194,1,98
17238194,3,19
17238197,1,1
17238198,1,99
17238199,1,19
17238199,2,19
17238200,1,20
17238200,2,20
17238201,1,99
17238201,2,19
17238201,3,19
17238202,1,19
17238202,2,1
17238202,2,59
17238203,1,99
17238204,1,99
17238205,1,19
17238205,2,19
17238209,1,19
17238209,2,99
17238212,1,19
17238219,1,19
17238219,2,19
17238220,1,99
17238221,1,19
17238221,2,19
17238224,1,19
17238226,1,20
17238226,2,19
17238227,1,19
17238228,1,99
17238228,2,21
17238231,1,19
17238232,1,20
17238232,2,19
17238233,1,1
17238234,1,19
17238234,2,19
17238236,1,19
17238236,2,1
17238238,1,1
17238238,1,21
17238239,1,99
17238242,1,98
17238242,2,19
17238244,1,19
17238248,1,19
17238250,1,19
17238250,2,21
17238251,1,19
17238252,1,98
17238252,4,19
17238253,1,19
17238266,1,1
17238266,2,19
17238269,1,19
17238272,1,19
17238272,2,19
17238278,1,19
17238278,2,19
17238278,3,19
17238285,1,1
17238285,2,21
17238285,3,99
17238286,1,19
17238286,2,1
17238288,1,20
17238288,2,19
17238289,1,1
17238289,2,98
17238290,1,19
17238290,2,19
17238292,1,19
17238293,1,19
17238294,1,19
17238294,2,19
17238295,1,23
17238295,2,19
17238296,1,19
17238296,2,19
17238298,1,19
17238298,2,20
17238299,1,21
17238299,1,22
17238299,2,98
17238301,1,19
17238301,2,98
17238303,1,20
17238303,2,19
17238304,1,99
17238305,1,1
17238305,1,21
17238305,1,22
17238305,2,19
17238305,3,19
17238306,1,99
17238307,1,20
17238307,2,1
17238309,1,99
17238309,2,19
17238311,1,19
17238311,2,19
17238312,1,19
17238312,2,19
17238313,1,20
17238316,1,99
17238316,2,19
17238317,1,1
17238318,1,20
17238318,2,19
17238319,1,19
17238319,2,19
17238320,1,19
17238320,2,19
17238321,1,99
17238321,2,19
17238322,1,98
17238322,2,19
17238323,1,99
17238323,2,20
17238324,1,1
17238325,1,1
17238325,2,99
17238326,1,1
17238326,1,23
17238327,1,99
17238327,2,20
17238329,1,99
17238332,1,19
17238335,1,1
17238335,2,20
17238337,1,19
17238337,2,20
17238339,1,20
17238339,2,19
17238339,3,19
17238340,1,99
17238340,2,19
17238346,1,98
17238346,2,19
17238348,1,19
17238348,2,19
17238351,1,99
17238354,1,98
17238355,1,1
17238355,2,19
17238356,1,99
17238357,1,23
17238357,2,20
17238358,1,19
17238358,2,19
17238359,1,19
17238359,2,23
17238361,1,20
17238361,2,20
17238363,1,19
17238366,1,1
17238366,1,14
17238366,2,20
17238368,1,19
17238369,1,99
17238369,2,19
17238369,3,19
17238369,4,20
17238370,1,19
17238370,2,19
17238371,1,20
17238371,2,20
17238372,1,1
17238372,2,1
17238372,3,19
17238377,1,19
17238377,2,19
17238378,1,19
17238378,2,1
17238379,1,19
17238379,2,19
17238380,1,19
17238380,2,19
17238382,1,1
17238382,2,1
17238383,1,19
17238383,2,1
17238385,1,19
17238387,1,99
17238388,1,99
17238388,2,19
17238389,1,99
17238392,1,19
17238392,2,98
17238392,3,19
17238394,1,19
17238394,2,19
17238397,1,20
17238397,2,20
17238397,3,98
17238397,4,99
17238398,1,19
17238398,2,1
17238399,1,19
17238399,2,1
17238399,2,23
17238401,1,19
17238401,2,74
17238402,1,19
17238407,1,19
17238407,2,20
17238436,1,19
17238436,2,19
17238441,1,99
17238454,1,19
17238454,2,99
17238455,1,19
17238460,1,1
17238460,2,1
17238462,1,19
17238462,2,19
17238468,1,20
17238468,2,99
17238468,3,20
17238469,1,19
17238472,1,19
17238472,2,20
17238476,1,19
17238476,2,20
17238477,1,98
17238477,2,98
17238480,1,99
17238480,2,98
17238502,1,20
17238502,2,19
17238548,1,19
17238548,2,20
17238548,3,1
17238553,1,19
17238553,2,19
17238560,1,19
17238566,1,20
17238566,2,20
17238572,1,20
17238572,2,19
17238577,1,99
17238578,1,19
17238578,2,19
17238582,1,19
17238582,2,3
17238591,1,20
17238591,2,19
17238594,1,20
17238594,2,99
17238597,1,19
17238600,1,19
17238606,1,99
17238610,1,19
17238610,2,99
17238616,1,19
17238636,1,19
17238636,2,1
17238638,1,19
17238638,2,19
17238660,1,19
17238660,2,19
17238667,1,99
17238669,1,1
17238673,1,19
17238673,2,19
17238675,1,99
17238677,1,20
17238677,2,19
17238679,1,19
17238679,2,19
17238680,1,19
17238680,2,19
17238683,1,19
17238683,2,19
17238685,1,19
17238685,2,19
17238688,1,19
17238688,2,19
17238692,1,19
17238692,2,1
17238694,1,20
17238694,2,19
17238695,1,98
17238695,2,19
17238696,1,19
17238696,2,1
17238698,1,19
17238700,1,19
17238700,2,1
17238707,1,19
17238708,1,19
17238710,1,1
17238710,2,20
17238714,1,19
17238714,2,19
17238716,1,19
17238718,1,19
17238720,1,19
17238720,2,19
17238726,1,98
17238726,3,99
17238730,1,1
17238730,2,19
17238732,1,19
17238732,2,19
17238733,1,99
17238735,1,19
17238735,2,19
17238736,1,19
17238736,2,19
17238736,3,19
17238737,1,20
17238737,2,19
17238738,1,19
17238738,2,19
17238740,1,19
17238740,2,19
17238741,1,19
17238741,2,20
17238744,1,19
17238744,2,19
17238747,1,1
17238747,2,19
17238748,1,99
17238750,1,19
17238752,1,21
17238753,1,19
17238753,2,19
17238754,1,1
17238754,2,19
17238755,1,19
17238755,2,19
17238757,1,19
17238757,2,20
17238759,1,19
17238759,2,19
17238763,2,1
17238764,2,99
17238770,1,19
17238770,2,19
17238771,1,20
17238771,2,19
17238776,1,19
17238776,2,98
17238777,1,1
17238781,1,98
17238781,2,19
17238783,1,1
17238783,2,1
17238785,1,99
17238794,1,20
17238808,1,98
17238808,3,20
17238812,1,19
17238812,2,19
17238813,1,19
17238813,2,99
17238814,1,19
17238814,2,20
17238817,1,19
17238817,2,19
17238835,1,99
17238847,1,19
17238847,2,1
17238853,1,19
17238853,2,19
17238859,1,99
17238859,2,98
17238860,1,1
17238860,2,1
17238861,1,1
17238865,1,98
17238865,2,19
17238868,1,99
17238868,2,19
17238868,3,19
17238870,1,19
17238871,1,99
17238871,2,1
17238873,1,1
17238873,1,23
17238873,2,1
17238877,1,1
17238877,2,1
17238878,1,98
17238880,1,19
17238880,2,19
17238881,1,99
17238881,2,19
17238884,1,1
17238884,1,49
17238884,2,20
17238886,1,1
17238886,2,99
17238894,1,19
17238894,2,1
17238895,1,19
17238895,2,98
17238896,1,19
17238896,2,1
17238901,1,19
17238901,2,19
17238904,1,98
17238904,2,19
17238905,1,99
17238905,2,19
17238908,1,1
17238909,1,19
17238909,2,19
17238913,1,19
17238913,2,19
17238917,1,19
17238917,2,1
17238919,1,1
17238919,2,1
17238919,3,1
17238921,1,19
17238922,1,1
17238922,1,21
17238922,1,22
17238922,2,19
17238924,1,19
17238926,1,20
17238926,2,19
17238927,1,1
17238927,2,1
17238929,1,19
17238932,1,1
17238932,2,1
17238933,1,19
17238933,2,19
17238934,1,19
17238934,2,98
17238936,1,19
17238936,2,19
17238939,1,19
17238953,1,19
17238953,2,19
17238957,1,19
17238958,1,1
17238958,2,1
17238958,2,66
17238958,2,67
17238960,1,19
17238960,2,19
17238962,1,20
17238962,2,19
17238962,3,19
17238962,4,19
17238962,5,19
17238962,7,19
17238963,1,99
17238963,2,19
17238963,3,19
17238964,1,20
17238964,2,19
17238965,1,99
17238966,1,20
17238968,1,1
17238973,1,19
17238973,2,1
17238974,1,99
17238974,2,19
17238975,1,19
17238976,1,99
17238980,1,1
17238980,2,19
17238984,1,19
17238984,2,99
17238984,3,99
17238985,1,99
17238985,2,19
17238986,1,19
17238986,2,19
17238988,1,99
17238988,2,20
17238988,4,99
17238989,1,19
17238989,2,19
17238990,1,20
17238991,1,20
17238993,1,19
17238993,2,20
17238995,1,99
17238997,1,19
17238997,2,1
17239000,1,19
17239000,2,19
17239001,1,19
17239001,2,19
17239003,1,99
17239004,1,99
17239004,2,19
17239005,1,99
17239005,2,19
17239006,1,19
17239006,2,1
17239008,1,19
17239008,2,19
17239012,1,19
17239012,2,19
17239015,1,99
17239015,2,1
17239017,1,19
17239017,2,19
17239019,2,99
17239041,1,19
17239042,1,19
17239043,1,19
17239057,1,19
17239057,2,19
17239071,1,19
17239072,1,1
17239072,2,19
17239095,1,98
17239095,2,1
17239099,1,19
17239099,3,19
17239102,1,19
17239103,1,19
17239103,2,19
17239109,1,1
17239109,2,23
17239113,1,19
17239113,2,19
17239114,1,1
17239114,2,1
